step,r1,r2,r3,r1sq,r2sq,r3sq,rsq,p1,p2,p3,p1sq,p2sq,p3sq,psq,U,Usq,Ealign,psi
500.0,0.564936569075141,-0.29478766892465535,70.54856661928484,1.320616956969197,0.7165307597344202,4977.562842418764,4979.599990135467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-211.64569985785494,44798.0655817689,57.928202718163455,0.9518538627663249
1000.0,0.4253358925954372,-1.1291045105549797,69.8517701374114,1.6767478222608379,2.6885885527736413,4880.44156549707,4884.806901872105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.55531041223384,43923.97408947369,57.446125547315916,0.9761290453470067
1500.0,1.533468418724955,-0.7147576784975509,69.98635883840306,7.752693877557434,2.3461324040379403,4899.234140811834,4909.332967093444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.95907651520784,44093.107267306594,58.3327390687486,0.9679694150585716
2000.0,0.8006279164337968,-0.9640063091340514,69.58451257262932,7.7225921252431275,3.379125444609924,4843.66447697776,4854.766194547637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.7535377178872,43592.98029280001,58.22016033845448,0.9723709148819341
2500.0,-0.35027813106858285,-1.3613185996717407,69.92654247682498,11.263813094352177,4.640600148322495,4891.630371200772,4907.53478444347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.77962743047354,44024.67334080712,58.347969792092336,0.9685733698708038
3000.0,-1.1509082165001114,-1.4309983141067564,70.27710045183937,13.905232738005184,4.711574745836382,4941.177128266055,4959.793935749913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.83130135551673,44470.59415439473,58.49024287989655,0.9630126090651175
3500.0,-1.8643993375367491,-1.2088014307115496,70.2800867106289,17.90781486062173,4.423613706763715,4941.674911239667,4964.006339807059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.8402601318866,44475.07420115658,58.4076137450836,0.9654325247824959
4000.0,-2.8187738312049397,-1.4912804463859277,69.73987286883157,27.258633311524417,6.033052200413838,4868.14818234348,4901.4398678554335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.2196186064959,43813.33364109152,57.892143052609114,0.9762919928299691
4500.0,-3.841414329158172,-1.0764583876459872,69.35241800788572,40.57394720013651,6.5830409320033185,4815.172669215399,4862.329657347564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.05725402365897,43336.55402293898,57.41277833291138,0.9803312265668955
5000.0,-4.289727879494723,-0.7244472837687119,69.51858305615345,43.59995182444027,6.9155835313779255,4838.041432039495,4888.556967395344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.55574916846177,43542.37288835573,57.545525106777895,0.9801260529008883
5500.0,-4.657771602918559,-0.3171440805791441,69.43212225710053,46.01739562878565,7.878531862465375,4825.843604181736,4879.739531673009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-208.29636677130125,43432.5924376359,57.36879855647342,0.983089362059301
6000.0,-5.046729974879629,-0.16157826348459817,68.87716705016318,49.749148909894984,7.771439114288286,4752.40427738943,4809.92486541365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.6315011504892,42771.63849650513,56.83636463337809,0.9932169902135224
6500.0,-5.72762830200218,0.23648473487563826,68.3614386730688,60.97741185630428,9.31489903837888,4684.433783442943,4754.726094337658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-205.08431601920793,42159.90405098686,56.2903754432431,0.9997342593004734
7000.0,-6.2650786820332,0.7546066100173378,67.92410619447041,69.27208006804733,12.764723964378074,4626.604780431936,4708.641584464401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.77231858341264,41639.443023887565,55.812936251598394,1.0047686003024234
7500.0,-6.500728408800861,1.0485521807265699,67.8929731560521,71.11515361866996,13.876584840956971,4621.970917933291,4706.962656392948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.67891946815794,41597.73826139976,55.841535448986996,1.0048018079779097
8000.0,-6.867364772200498,1.3665234080836595,67.90574358083917,76.40240427895911,15.417989253163556,4623.277819504931,4715.098213037032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.7172307425195,41609.50037554414,56.03365730443909,1.0066541451145419
8500.0,-7.020347200943992,1.5746397990355885,67.73371096563471,77.26229001472983,16.495722625652,4599.867106594565,4693.62511923488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.2011328969076,41398.803959350225,56.02202501885673,1.0125378057417225
9000.0,-7.171768814491899,1.4311794219836158,67.64754925269776,78.34035778264281,15.767856299816673,4587.680716642312,4681.788930724744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.94264775809657,41289.12644978003,56.09941815284201,1.0154491452180974
9500.0,-7.21231780771888,1.5152321982645818,67.63915865184033,77.68513297535316,15.519486361120371,4585.979253660631,4679.183872997067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-202.917475955524,41273.81328294547,56.192195408880025,1.0169088328247369
10000.0,-7.100416150258647,1.8486404873686402,67.68755477923305,75.18595184853976,18.242172875605128,4592.0856694311615,4685.5137941552475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-203.06266433770224,41328.77102488012,56.331536512629874,1.0179304228907446
